cmp_id,resource,type_version,question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,negative_response,total_responses,total_positive_by_question,satisfaction_rate
1,program,program version 1,Academic Advising,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Academic Advisor,0,12,6,0,0,12,6,36,12,33.33333333333333
1,program,program version 1,Academic and Career Counseling Services,0,0,4,0,1,0,4,9,0,0.0
1,program,program version 1,Advertisements,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,Are available for consultation and advice,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,Are enthusiastic,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Are knowledgeable of the content of the courses they taught,2,0,2,0,0,2,2,8,2,25.0
1,program,program version 1,Aspirational leaders,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Availability of study sites,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Availability of the digital databases,0,2,2,0,1,2,2,9,2,22.22222222222222
1,program,program version 1,Cared about the progress of their students,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Center of Communication and Rhetoric (CCR),0,0,0,0,3,0,0,3,0,0.0
1,program,program version 1,Center of Excellence in Writing and Speaking (CEWS),0,0,4,0,1,0,4,9,0,0.0
1,program,program version 1,Channels for scholarship and financial support,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Channels of payment,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Citrine Ambassador Program (EAP),0,4,0,0,1,4,0,9,4,44.44444444444444
1,program,program version 1,Citrine's Code of Ethical Conduct (Tarbwyyat Citrine),2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)",0,4,0,0,1,4,0,9,4,44.44444444444444
1,program,program version 1,Comprehensive learning experience,1,0,0,2,1,1,2,7,1,14.285714285714285
1,program,program version 1,Contributes to technological advancements locally and globally,0,2,0,2,1,2,2,9,2,22.22222222222222
1,program,program version 1,Current and up-to-date library materials,1,2,0,2,0,3,2,10,3,30.0
1,program,program version 1,Encourage me to investigate new ideas,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Enhancement Program (ESP) Services,0,2,0,0,2,2,0,6,2,33.33333333333333
1,program,program version 1,Family Member,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,"For Extra-curricular activities (swimming pool, gym, running track, student lounge)",1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,For Healthy Food Services,0,2,0,0,2,2,0,6,2,33.33333333333333
1,program,program version 1,For Religious observances,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,Gave me helpful feedback on my work,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Grade Appeal and Academic and Non-academic Concerns Process,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Helped me to develop leadership skills,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Impactful knowledge and intellectual contributions,1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,Inspired me to do my best,1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,Library atmosphere for studying,1,0,0,0,2,1,0,4,1,25.0
1,program,program version 1,Library copy & print facilities,1,0,0,0,2,1,0,4,1,25.0
1,program,program version 1,Library website,0,4,2,0,0,4,2,12,4,33.33333333333333
1,program,program version 1,Library workshops,0,4,0,2,0,4,2,12,4,33.33333333333333
1,program,program version 1,Made me aware of the ethical values necessary for my future career,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,Medical Clinic,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,My Current Employer,0,2,2,0,1,2,2,9,2,22.22222222222222
1,program,program version 1,My ability to investigate and solve new problems,1,0,2,2,0,1,4,10,1,10.0
1,program,program version 1,My ability to use technology to find information and report results,0,2,0,0,2,2,0,6,2,33.33333333333333
1,program,program version 1,My ability to work effectively in groups,0,2,2,2,0,2,4,12,2,16.666666666666664
1,program,program version 1,My interest to want to continue to keep up to date with new developments in my field of study,1,2,0,2,0,3,2,10,3,30.0
1,program,program version 1,My rights and responsibilities at Citrine University,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,My skills in communication,0,4,2,0,0,4,2,12,4,33.33333333333333
1,program,program version 1,Others,0,8,8,0,4,8,8,36,8,22.22222222222222
1,program,program version 1,Peer Tutoring Services,0,2,2,0,1,2,2,9,2,22.22222222222222
1,program,program version 1,Personal Counseling Services,1,0,2,2,0,1,4,10,1,10.0
1,program,program version 1,Previous Citrine University Graduate,0,2,0,0,2,2,0,6,2,33.33333333333333
1,program,program version 1,Printed Brochures and Booklets,0,0,2,0,2,0,2,6,0,0.0
1,program,program version 1,Provides quality education centered on encouraging innovative scientific solutions and research,2,0,0,0,0,2,0,4,2,50.0
1,program,program version 1,Registration Process,1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul),3,0,0,0,0,3,0,6,3,50.0
1,program,program version 1,Social Media,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,Socio-economic growth of the Kingdom,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,Solutions to societal and economic challenges,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Sports Activities,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,"Student Life (Events, activities, trips, clubs, etc...)",1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,The Dean of Academic Development and Supportive Studies,0,12,6,0,0,12,6,36,12,33.33333333333333
1,program,program version 1,The Dean of Admission and Registration,3,6,0,0,3,9,0,21,9,42.857142857142854
1,program,program version 1,The Dean of Graduate Studies and Research,3,6,0,0,3,9,0,21,9,42.857142857142854
1,program,program version 1,The Dean of Student Affairs,3,0,0,6,0,3,6,18,3,16.666666666666664
1,program,program version 1,The Dean of the College,3,0,12,0,0,3,12,30,3,10.0
1,program,program version 1,The Department Chair,6,6,0,0,0,12,0,24,12,50.0
1,program,program version 1,The Email services,1,0,0,4,0,1,4,10,1,10.0
1,program,program version 1,The Learning Management System (Blackboard) services,0,2,2,0,1,2,2,9,2,22.22222222222222
1,program,program version 1,The President of the University,3,0,6,0,3,3,6,21,3,14.285714285714285
1,program,program version 1,The Provost,3,0,6,0,3,3,6,21,3,14.285714285714285
1,program,program version 1,The Student Information System (Banner) services,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,The accessibility of IT systems off campus,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,The accessibility of digital resources,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,The attendance system (fingerprints) services,2,0,2,0,0,2,2,8,2,25.0
1,program,program version 1,The functionality of library equipment,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,The help of library staff,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,The internet accessibility services on campus,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,The library working times,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,The orientation program for new students,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,University School Visit,0,0,4,0,1,0,4,9,0,0.0
1,program,program version 1,University Website,0,0,2,0,2,0,2,6,0,0.0
1,program,program version 1,Use up-to-date and useful study materials,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,Used effective methods of teaching,2,0,0,0,1,2,0,5,2,40.0
2,course,course version 1,I would like to take another course with the same instructor,2,2,2,1,0,4,3,14,5,28.57142857142857
2,course,course version 1,"Overall, I was satisfied with the quality of this course",0,6,1,1,0,6,2,16,10,37.5
2,course,course version 1,The assessment tasks and the assessment criteria were made clear to  me,2,1,3,2,0,3,5,16,5,18.75
2,course,course version 1,"The class activities, assignments, laboratories helped me in understanding the course",1,3,1,2,0,4,3,14,9,28.57142857142857
2,course,course version 1,The course generally followed the syllabus,0,5,1,1,0,5,2,14,9,35.714285714285715
2,course,course version 1,The course materials were made available on Blackboard,2,2,3,0,0,4,3,14,8,28.57142857142857
2,course,course version 1,The course materials were up to date and useful,2,3,2,1,0,5,3,16,8,31.25
2,course,course version 1,The course resources I needed were available when I needed them,1,4,2,1,0,5,3,16,9,31.25
2,course,course version 1,The course was intellectually challenging,4,2,1,1,0,6,2,16,10,37.5
2,course,course version 1,The effort required for this course was appropriate,3,3,2,0,0,6,2,16,7,37.5
2,course,course version 1,The instructor returned assignments/tests timely and with feedback,1,3,2,1,0,4,3,14,7,28.57142857142857
2,course,course version 1,The instructor stimulated interest in the course subject,1,4,1,1,0,5,2,14,9,35.714285714285715
2,course,course version 1,The instructor treated students with respect,0,5,1,2,0,5,3,16,7,31.25
2,course,course version 1,The instructor was available for help outside of class,1,2,4,1,0,3,5,16,6,18.75
2,course,course version 1,The instructor was enthusiastic about the subject,3,2,0,2,0,5,2,14,8,35.714285714285715
2,course,course version 1,The instructor was prepared,2,4,1,1,0,6,2,16,10,37.5
2,course,course version 1,The instructor's explanation was clear,0,3,2,2,0,3,4,14,7,21.428571428571427
2,course,course version 1,The lab activities were well integrated with the lectures.,0,3,4,0,0,3,4,14,7,21.428571428571427
2,course,course version 1,The lab sessions were organized and clear instructions were given to me,0,3,4,1,0,3,5,16,7,18.75
3,course,course version 2,I would like to take another course with the same instructor,1,0,3,2,0,1,5,12,5,8.333333333333332
3,course,course version 2,"Overall, I was satisfied with the quality of this course",1,3,0,2,0,4,2,12,10,33.33333333333333
3,course,course version 2,The assessment tasks and the assessment criteria were made clear to  me,2,0,3,1,0,2,4,12,5,16.666666666666664
3,course,course version 2,"The class activities, assignments, laboratories helped me in understanding the course",0,5,0,1,0,5,1,12,9,41.66666666666667
3,course,course version 2,The course generally followed the syllabus,0,4,1,1,0,4,2,12,9,33.33333333333333
3,course,course version 2,The course materials were made available on Blackboard,0,4,0,1,0,4,1,10,8,40.0
3,course,course version 2,The course materials were up to date and useful,0,3,1,1,0,3,2,10,8,30.0
3,course,course version 2,The course resources I needed were available when I needed them,3,1,0,2,0,4,2,12,9,33.33333333333333
3,course,course version 2,The course was intellectually challenging,1,3,0,2,0,4,2,12,10,33.33333333333333
3,course,course version 2,The effort required for this course was appropriate,0,1,2,2,0,1,4,10,7,10.0
3,course,course version 2,The instructor returned assignments/tests timely and with feedback,2,1,2,1,0,3,3,12,7,25.0
3,course,course version 2,The instructor stimulated interest in the course subject,2,2,0,1,0,4,1,10,9,40.0
3,course,course version 2,The instructor treated students with respect,2,0,1,2,0,2,3,10,7,20.0
3,course,course version 2,The instructor was available for help outside of class,0,3,1,2,0,3,3,12,6,25.0
3,course,course version 2,The instructor was enthusiastic about the subject,2,1,2,1,0,3,3,12,8,25.0
3,course,course version 2,The instructor was prepared,1,3,1,1,0,4,2,12,10,33.33333333333333
3,course,course version 2,The instructor's explanation was clear,0,4,0,2,0,4,2,12,7,33.33333333333333
3,course,course version 2,The lab activities were well integrated with the lectures.,1,3,1,1,0,4,2,12,7,33.33333333333333
3,course,course version 2,The lab sessions were organized and clear instructions were given to me,1,3,1,1,0,4,2,12,7,33.33333333333333
